order_purchase_timestamp,total_sales,total_items,total_orders,day_of_week,month,quarter,is_weekend,is_holiday,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_rolling_avg_7,total_sales_rolling_std_7,total_sales_rolling_avg_30,total_sales_rolling_std_30
2017-08-24,13361.11,143,126,3,8,3,0,0,15873.61,18357.91,19865.55,17070.12,15852.779999999999,3333.547203835598,17168.682,3568.869556957104
2017-08-25,15068.65,133,121,4,8,3,0,0,13361.11,17132.01,19139.34,11097.25,15558.014285714287,3292.553326345485,17301.062,3405.8275689900156
2017-08-26,10141.69,99,93,5,8,3,1,0,15068.65,12882.48,13371.96,15693.93,15166.472857142857,3789.2478731041033,17115.987333333334,3639.0427723120824
2017-08-27,13367.88,143,118,6,8,3,1,0,10141.69,12873.78,12264.29,20043.16,15237.058571428572,3743.7507037302994,16893.478,3657.9200483423433
2017-08-28,22062.52,171,154,0,8,3,0,0,13367.88,22219.35,17927.47,15814.28,15214.654285714287,3695.1552165272756,17101.752666666664,3770.502436533229
2017-08-29,33756.48,155,137,1,8,3,0,0,22062.52,16627.12,23727.26,12944.87,17661.705714285716,7977.184643424979,17795.472999999998,4763.1733920165925
2017-08-30,30856.17,197,177,2,8,3,0,0,33756.48,15873.61,21098.91,17146.08,19802.071428571428,9315.232084951736,18252.476000000002,5323.472242253043
2017-08-31,20671.51,172,148,3,8,3,0,0,30856.17,13361.11,18357.91,21745.04,20846.414285714283,8872.022205237568,18216.691666666666,5302.7535181418825
2017-09-01,28419.14,182,157,4,9,3,0,0,20671.51,15068.65,17132.01,17999.35,22753.62714285714,8857.934827851072,18564.018,5619.793524524325
2017-09-02,18128.66,118,104,5,9,3,1,0,28419.14,10141.69,12882.48,18985.61,23894.622857142855,7348.404821498581,18535.452999999998,5619.754616336512
2017-09-03,27741.42,141,124,6,9,3,1,0,18128.66,13367.88,12873.78,18361.62,25947.985714285714,5751.315218277899,18848.113,5865.311640932324
2017-09-04,24937.98,161,148,0,9,3,0,0,27741.42,22062.52,22219.35,11898.24,26358.765714285713,5525.81587802757,19282.771,5815.4741757186675
2017-09-05,20981.55,181,154,1,9,3,0,0,24937.98,33756.48,16627.12,14181.14,24533.77571428571,4727.2613528936245,19509.451333333334,5741.831225345266
2017-09-06,25134.71,156,139,2,9,3,0,0,20981.55,30856.17,15873.61,23257.84,23716.424285714285,3868.5485736162555,19572.01366666667,5794.06903918403
2017-09-07,16893.5,104,97,3,9,3,0,1,25134.71,20671.51,13361.11,18661.63,23176.70857142857,4565.007298900419,19513.076,5812.611949176344
2017-09-08,11573.57,132,114,4,9,3,0,0,16893.5,28419.14,15068.65,20508.27,20770.198571428573,5651.643634051444,19215.25266666667,5986.166969944519
2017-09-09,15082.53,119,106,5,9,3,1,0,11573.57,18128.66,10141.69,19865.55,20335.037142857145,5995.731037851605,19055.818666666666,6031.77102366766
2017-09-10,17708.37,151,134,6,9,3,1,0,15082.53,27741.42,13367.88,19139.34,18901.744285714285,5055.6456630512175,19008.119666666666,6036.743741554991
2017-09-11,23326.79,192,177,0,9,3,0,0,17708.37,24937.98,22062.52,13371.96,18671.574285714283,4763.250969572,19339.947333333334,5989.667265768054
2017-09-12,27006.02,243,203,1,9,3,0,0,23326.79,20981.55,33756.48,12264.29,19532.21285714286,5701.950910348474,19831.338333333333,5993.867828065435
2017-09-13,27333.38,227,204,2,9,3,0,0,27006.02,25134.71,30856.17,17927.47,19846.308571428573,6108.097178269262,20144.86866666667,6135.18392245834
2017-09-14,22557.76,198,166,3,9,3,0,0,27333.38,16893.5,20671.51,23727.26,20655.488571428574,6026.366944772576,20105.885333333335,6115.319646599101
2017-09-15,18208.27,163,148,4,9,3,0,0,22557.76,11573.57,28419.14,21098.91,21603.302857142855,4745.555142712356,20009.53066666667,6121.903063177691
2017-09-16,20705.63,135,127,5,9,3,1,0,18208.27,15082.53,18128.66,18357.91,22406.602857142858,3849.0272223238844,20087.788,6115.063913958373
2017-09-17,19979.42,136,125,6,9,3,1,0,20705.63,17708.37,27741.42,17132.01,22731.03857142857,3463.4057963774294,20182.701666666664,6089.649373850278
2017-09-18,28487.81,218,183,0,9,3,0,0,19979.42,23326.79,24937.98,12882.48,23468.32714285714,4101.857601858407,20702.879333333334,6111.027621963393
2017-09-19,20057.95,179,153,1,9,3,0,0,28487.81,27006.02,20981.55,12873.78,22475.745714285713,3940.606784370702,20942.351666666666,5931.784132423361
2017-09-20,22102.55,187,161,2,9,3,0,0,20057.95,27333.38,25134.71,22219.35,21728.484285714287,3311.7004107449748,20938.458333333332,5930.9553440618465
2017-09-21,19015.53,176,150,3,9,3,0,0,22102.55,22557.76,16893.5,16627.12,21222.45142857143,3432.2999004963863,21018.071999999996,5886.953935661701
